"Date","Prefecture","NewlyConfirmedCases","NumberOfDeaths","SevereCases"
2020-02-07,"Mie",0,NA,NA
2020-02-07,"Miyagi",0,NA,NA
2020-02-07,"Miyazaki",0,NA,NA
2020-02-07,"Nagano",0,NA,NA
2020-02-07,"Nagasaki",0,NA,NA
2020-02-07,"Nara",0,NA,NA
2020-02-07,"Niigata",0,NA,NA
2020-02-07,"Oita",0,NA,NA
2020-02-07,"Okayama",0,NA,NA
2020-02-07,"Okinawa",0,NA,NA
2020-02-07,"Osaka",0,NA,NA
2020-02-07,"Saga",0,NA,NA
2020-02-07,"Saitama",0,NA,NA
2020-02-07,"Shiga",0,NA,NA
2020-02-07,"Shimane",0,NA,NA
2020-02-07,"Shizuoka",0,NA,NA
2020-02-07,"Tochigi",0,NA,NA
2020-02-07,"Tokushima",0,NA,NA
2020-02-07,"Tokyo",0,NA,NA
2020-02-07,"Tottori",0,NA,NA
2020-02-07,"Toyama",0,NA,NA
2020-02-07,"Wakayama",0,NA,NA
2020-02-07,"Yamagata",0,NA,NA
2020-02-07,"Yamaguchi",0,NA,NA
2020-02-07,"Yamanashi",0,NA,NA
2020-02-08,"Aichi",0,NA,NA
2020-02-08,"Akita",0,NA,NA
2020-02-08,"Aomori",0,NA,NA
2020-02-08,"Chiba",0,NA,NA
2020-02-08,"Ehime",0,NA,NA
2020-02-08,"Fukui",0,NA,NA
2020-02-08,"Fukuoka",0,NA,NA
2020-02-08,"Fukushima",0,NA,NA
2020-02-08,"Gifu",0,NA,NA
2020-02-08,"Gunma",0,NA,NA
2020-02-08,"Hiroshima",0,NA,NA
2020-02-08,"Hokkaido",0,NA,NA
2020-02-08,"Hyogo",0,NA,NA
2020-02-08,"Ibaraki",0,NA,NA
2020-02-08,"Ishikawa",0,NA,NA
2020-02-08,"Iwate",0,NA,NA
2020-02-08,"Kagawa",0,NA,NA
2020-02-08,"Kagoshima",0,NA,NA
2020-02-08,"Kanagawa",0,NA,NA
